button,gps_lon,gps_lat,gps_lock,timestamp_ms
1,51.498294,-0.177257,0,3063
1,51.498302,-0.177253,0,3679
1,51.498314,-0.177239,0,4295
1,51.498331,-0.177232,0,4842
1,51.498339,-0.177221,0,5366
1,51.498358,-0.177219,0,6264
1,51.498365,-0.177211,0,7650
1,51.498296,-0.177278,0,10305
1,51.498309,-0.177271,0,10305
1,51.498323,-0.177264,0,10305
1,51.498333,-0.177254,0,10305
1,51.498347,-0.177242,0,10305
1,51.498358,-0.177236,0,10305
1,51.498373,-0.177232,0,10305
1,51.498386,-0.177222,0,10305
1,0.000000,0.000000,0,10305
